plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,plate_dr16q,mjd_dr16q,fiberid_dr16q,ra_dr16q,dec_dr16q,separation
4310,55508,754,22.334127929426472,4.824147926817276,9438,58126,955,22.334127909412416,4.824147908245242,9.810577963503616E-5
6264,56223,578,22.359813113999053,27.483975529976274,7683,58133,104,22.359813078593902,27.48397551688292,1.2250485939124738E-4
5694,56213,209,22.540464245601356,23.954291511231638,7684,57286,960,22.54046422462193,23.954291500478824,7.913503581026016E-5
4665,56209,82,22.55684407392198,12.55413366248978,11069,58456,722,22.556844028778187,12.554133633706098,1.8947687493488794E-4
6265,56248,288,22.704746190490766,28.017031122292014,7686,57015,517,22.70474618783021,28.017031120097517,1.1571909605266732E-5
4230,55483,694,23.301314949084464,0.03319033135136566,9395,58113,988,23.301314948700472,0.0331903268334925,1.632298314340567E-5
4422,55533,386,23.383121659779704,4.805203363378659,9437,58130,823,23.383121643961886,4.8052033486878125,7.756881518777523E-5
4230,55483,352,23.451274966842163,-0.48650088418064336,7847,57012,337,23.451274967089205,-0.4865008810278234,1.1384939280323467E-5
4422,55533,760,23.810066860708275,6.569555123430329,11071,58429,416,23.810066851773684,6.569555113043318,4.918607022038546E-5
4351,55538,156,24.02331528499441,-2.763320291814575,7845,56980,479,24.023315277643675,-2.7633203044082655,5.2479650093841196E-5
4274,55508,352,24.091037062208045,3.6294893036949123,8759,57700,224,24.091037060506835,3.6294893020624364,8.47912911577542E-6
7049,56570,624,24.1089385483926,-3.5237418722600857,7894,57339,780,24.10893802485164,-3.5237439528249492,0.007722658602935609
4274,55508,728,24.38357820259432,4.567870741203524,8759,57700,878,24.383578201165278,4.567870739634902,7.628081528942149E-6
5695,55978,750,24.413981949168544,26.170609531253472,7688,57360,508,24.413981882574262,26.17060950910466,2.2946169731163623E-4
4661,55614,154,24.64785666386655,13.434125016092693,11060,58523,128,24.64785666263299,13.434125014607472,6.873468426949976E-6
4549,55556,852,24.94035242553673,8.042873817463125,11071,58429,840,24.940352420203396,8.042873799424777,6.766368433543513E-5
4661,55614,906,24.94201588676492,14.891297891689339,11060,58523,958,24.942015876487915,14.891297885000679,4.3106879108674695E-5
4231,55444,732,25.395638513227777,0.10693346313912604,7843,56902,617,25.395638513035273,0.10693346087327284,8.18645699893349E-6
4231,55444,751,25.407981810465756,0.5981291241189437,7843,56902,637,25.407981810835853,0.5981291284244139,1.5556845095263535E-5
5695,56191,92,25.568258899742943,24.601309508499465,7688,57360,250,25.568258907467907,24.60130950552139,2.74644597039572E-5
4662,55590,257,25.588450293451444,11.29725833388671,11061,58428,143,25.58845027635914,11.29725832265833,7.262832153836962E-5
4404,55513,784,26.056340550973175,6.817988811268638,11081,58398,480,26.056340536012385,6.817988794035875,8.190604047318429E-5
4545,55567,216,26.215841913548445,9.078752372126331,11062,58509,223,26.215841901453757,9.078752363732624,5.25518225894769E-5
4350,55556,146,26.344241468274205,-2.781053345898497,7844,56982,427,26.344241466680444,-2.781053348493154,1.0958637198229715E-5
4232,55447,399,26.681034386027363,-0.07671792349761872,7843,56902,113,26.681034386030603,-0.07671792345593699,1.5050625809568547E-7
4232,55447,690,26.89667696895551,0.205833071157723,7843,56902,966,26.89667696704106,0.20583304862304233,8.141707928977681E-5
4532,55559,156,27.361674738986494,7.91775952465011,11081,58398,798,27.36167473419573,7.917759508332717,6.117598620062722E-5
4348,55559,288,27.554529382498174,-3.125463224948159,9325,58042,740,27.554529385755984,-3.1254632193199754,2.340227960973601E-5
4657,55591,584,27.805737686602754,15.09892178810635,11045,58485,595,27.805737683437997,15.098921786349514,1.268843749496398E-5
4657,55591,596,27.872551734159174,14.663242141218408,11045,58485,574,27.872551721222862,14.663242132693233,5.451395433052805E-5
4270,55511,261,28.562883302411365,3.6712575378786196,8738,57402,267,28.56288329104325,3.671257525057977,6.16297513478635E-5
5118,55830,842,28.64589105028756,18.293723530093374,7626,56934,312,28.645891019589783,18.293723514804643,1.18486088716302E-4
6268,56245,140,28.759445868006082,27.023726676816395,10000,57716,428,28.759445873886705,27.023726678643026,1.997243154656695E-5
6268,56245,140,28.759445868006082,27.023726676816395,7691,58124,440,28.759445873886705,27.023726678643026,1.997243154656695E-5
4530,55564,150,28.92840798520706,9.840623830322498,11079,58485,818,28.928407960391098,9.840623810733623,1.1278792847961614E-4
4403,55536,946,28.934571361994756,6.951368727609208,11080,58401,382,28.9345713603671,6.951368721881804,2.1423363452430124E-5
4530,55564,158,29.00533209005124,10.075149097543283,11079,58485,810,29.00533208512479,10.075149094219322,2.1168454824045703E-5
5118,55830,920,29.087188711098463,18.64176205662154,7626,56934,813,29.08718869586744,18.641762049135806,5.8528202551911366E-5
4403,55536,12,29.168833675182213,5.6938368643978645,8735,58133,414,29.16883367580806,5.693836866687532,8.542247352308753E-6
5697,55944,814,29.40681980273189,25.966043269830465,10000,58514,366,29.406819782337777,25.96604326283969,7.064241009462489E-5
5110,55913,598,29.683157072694883,21.057158358727225,7632,56987,606,29.683157054231856,21.057158350235266,6.915282297371643E-5
5110,55913,644,29.914352758075438,19.973357325810113,7632,56987,380,29.91435274992307,19.973357321994644,3.0814037088123974E-5
5114,55883,632,29.98672469780695,24.426103195872475,7692,57064,410,29.986724680692987,24.42610318933943,6.082668965424342E-5
6271,56304,132,30.179563905699354,28.696511675496314,10000,58514,821,30.17956383687641,28.69651165374435,2.3100837602562787E-4
5697,55944,24,30.27945006744858,25.427826977445093,7692,57064,648,30.27945007082542,25.42782697863325,1.1782769838510585E-5
4349,55803,12,30.543105350482804,-2.6265564954894125,7838,56958,466,30.543105349409416,-2.6265564973249,7.652648734177543E-6
5110,55913,226,30.622672748546677,19.392263763335414,7632,56987,203,30.622672722260972,19.392263750703773,1.0017598983809876E-4
6270,56273,838,30.710758566811876,28.252675926962628,10000,58514,904,30.710758525050892,28.252675913438193,1.4109593854959006E-4
5698,55947,734,31.51523394888443,26.055446430855685,7659,57060,376,31.515233950273455,26.05544643132278,4.796685523433682E-6
4269,55502,378,31.5465683304933,1.6453501882196355,7833,57286,349,31.546568327948933,1.6453501838283846,1.8268555653517717E-5
4235,55451,696,31.909288904971312,0.1648126008359522,7834,56979,517,31.909288906212332,0.16481261545209336,5.280743562272866E-5
4347,55830,6,32.22222905082708,-2.671046429593624,7885,57336,582,32.22222905132651,-2.6710464311657875,5.9379127933346454E-6
4266,55486,262,32.62870459861031,3.7880849528115697,9423,58100,344,32.628704598960326,3.7880849510592935,6.4322675770980685E-6
4235,55451,138,32.638849048258294,-0.9261239817054335,7834,56979,336,32.63884904837789,-0.9261239801610596,5.57638931725408E-6
5698,55947,992,32.899890585030846,25.932483602024632,7659,57060,52,32.89989056475065,25.9324835950739,7.026402985306181E-5
7237,56662,631,33.313708645421855,-4.0649053526029935,9322,57742,196,33.31370709624349,-4.06490487163518,0.0058262462030065805
4236,55479,285,33.70308140906339,-1.1608884839210636,7835,56986,662,33.703081409681204,-1.1608884763953604,2.718363548613858E-5
4400,55509,162,34.40504818079489,4.944673563326165,8732,57418,554,34.405048151642404,4.944673536242742,1.4296421580873653E-4
4267,55484,152,34.582622437141595,2.207625646816531,7830,57043,816,34.58262244151234,2.207625636248284,4.116657925010475E-5
4237,55478,628,34.88790354045136,1.2473371119758547,7830,57043,120,34.88790355169084,1.2473371316270025,8.149319520814458E-5
4237,55478,310,35.306909345829695,-0.4472895929055577,7831,57016,191,35.3069093330067,-0.44728961639396353,9.633780664280872E-5
4262,55482,498,35.564794287503105,4.098241070575094,8732,57418,279,35.564794273038444,4.0982410544849355,7.780090244237913E-5
