plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,ra_dr16q,dec_dr16q,plate_dr16q,mjd_dr16q,fiberid_dr16q,separation
3656,55241,738,111.10738539093211,41.91400695615444,111.10738540289215,41.91400695574561,10656,58163,530,3.207391423538834E-5
3659,55181,706,113.136665129305,43.91678036527712,113.1366651412617,43.91678036728543,10655,58172,399,3.183849718157469E-5
4456,55537,448,113.16749022373631,27.011058941987766,113.16749023098095,27.011058939710896,11086,58401,914,2.4639174437810793E-5
3658,55205,58,113.81828694033902,39.769943120649685,113.81828694459176,39.76994312070309,9369,58054,612,1.1769005201171596E-5
3662,55182,268,113.91797946574528,36.05694516242178,113.91797946973759,36.05694516202201,9362,57801,522,1.1707869696460127E-5
3660,55209,194,114.00849538812913,44.27992723185609,114.00849538243314,44.279927230875465,10655,58172,776,1.5099231537761373E-5
3671,55483,388,115.26478338583468,44.80984318962198,115.26478340778017,44.80984319207396,8306,57419,243,5.674004389208646E-5
3667,55566,234,115.45492518020228,36.711806380608316,115.4549251802095,36.71180638060734,9362,57801,782,2.1074364226389752E-8
3673,55178,636,115.59551235703987,46.73183687561051,115.59551240068053,46.73183688597864,10654,58429,248,1.139683539442763E-4
3669,55481,276,115.63691656141897,43.09666609397334,115.63691653533421,43.096666092896115,11652,58484,4,6.867926137967203E-5
3674,55182,508,115.75902016056827,42.437335925368046,115.75902016340909,42.43733592474593,8290,57364,796,7.872926265635958E-6
4456,55537,994,115.91448601413354,27.846749934766752,115.91448601948815,27.846749933216234,10286,58084,304,1.79350813211615E-5
3670,55480,639,116.03526436953551,38.93895493488234,116.03526437416198,38.93895493390501,9369,58054,55,1.342407347808769E-5
3670,55480,618,116.0551631708694,39.72851389937581,116.05516317763136,39.72851389779632,9369,58054,977,1.956618307059321E-5
4448,55538,792,116.12123107099013,31.29089724346053,116.12123107216708,31.29089724364448,10291,58101,525,3.680717253146995E-6
4452,55536,194,117.04293028799201,28.38365544481703,117.04293028636349,28.383655445262285,10287,58101,499,5.4012176805544235E-6
3676,55186,602,117.10463410627348,44.396297561862795,117.10463412611993,44.39629756278985,8276,57067,728,5.115930948602941E-5
4485,55836,816,117.26096623507118,20.24961644961354,117.26096624890002,20.249616442926794,11082,58508,32,5.254530646496647E-5
3673,55178,862,117.29560599623417,47.82899358787743,117.29560601070972,47.82899359159912,8303,57805,398,3.746289874992293E-5
3791,55501,738,117.39560052388583,36.03123679385643,117.39560053216681,36.03123679393935,9354,57806,652,2.4110290746324665E-5
3674,55182,776,117.4059866711664,42.10354261019681,117.40598669014213,42.1035426113542,8290,57364,990,5.0854445449881386E-5
3673,55178,128,117.62950893493705,45.49738005830629,117.62950895247553,45.497380059943474,8305,57749,350,4.464720519749727E-5
